img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_01_foto0;1;0;55;57;67;64;91;91;62;66;77;77;42.96875;43.72258771929825;50.12826492537314;49.31640625;46.248282967032964;70.93063186813187;48.4375;50.33143939393939;51.826298701298704;60.15625
Pieza_01_foto00;1;0;80;80;65;65;82;81;64;69;59;58;62.5;53.984375;50.78125;50.46875;60.11814024390244;51.25385802469136;47.412109375;53.90625;46.09375;44.53125
Pieza_01_foto0118;1;118;63;63;62;64;64;60;59;58;61;61;49.21875;48.4375;48.4375;49.4140625;48.2666015625;46.875;44.87552966101695;45.16433189655172;42.96875;47.65625
Pieza_01_foto0119;1;119;64;66;66;61;63;63;60;64;69;69;50.0;50.20123106060606;50.50899621212121;47.65625;48.37549603174603;48.06547619047619;46.640625;46.77734375;50.0;53.90625
Pieza_01_foto0137;1;137;64;67;71;71;71;74;75;78;78;55;50.0;50.0;52.618838028169016;55.46875;54.7425176056338;56.25;57.8125;58.59375;60.9375;42.96875
Pieza_01_foto0138;1;138;72;75;76;76;77;77;77;79;82;82;56.25;56.645833333333336;58.59375;58.0797697368421;59.375;60.15625;60.15625;60.87816455696203;62.823932926829265;58.0030487804878
Pieza_01_foto0152;1;152;58;58;56;54;55;55;53;53;55;55;45.3125;44.31573275862069;43.75;42.1875;41.40625;42.96875;40.787146226415096;40.97877358490566;39.84375;42.96875
Pieza_01_foto0153;1;153;71;71;70;70;68;68;64;65;65;62;53.98327464788732;55.43573943661972;54.6875;54.017857142857146;53.125;52.5735294117647;49.3408203125;49.21875;47.07932692307692;48.4375
Pieza_01_foto0167;1;167;51;55;55;56;66;66;58;58;74;74;18.75;40.18465909090909;42.96875;42.96875;49.92897727272727;48.24810606060606;43.81734913793103;45.083512931034484;52.132601351351354;57.8125
Pieza_01_foto0168;1;168;53;54;64;64;56;56;72;72;72;61;41.40625;41.40625;42.1875;50.0;41.40625;43.75;42.96875;56.25;47.89496527777778;47.65625
Pieza_01_foto0184;1;184;67;67;66;65;63;62;61;62;68;68;50.093283582089555;52.34375;51.5625;50.78125;48.4375;47.58064516129032;47.65625;47.88306451612903;48.552389705882355;53.125
Pieza_01_foto0185;1;185;65;63;63;63;61;59;57;58;59;59;50.63701923076923;47.817460317460316;49.16914682539682;48.958333333333336;47.57940573770492;45.32574152542373;44.53125;44.67941810344828;45.3125;46.09375
Pieza_01_foto0219;1;219;59;60;64;64;65;69;73;76;76;77;44.53125;46.822916666666664;47.65625;50.0;50.42067307692308;53.000452898550726;51.294948630136986;57.401315789473685;56.54810855263158;60.15625
Pieza_01_foto0220;1;220;64;64;66;66;64;67;69;69;73;79;46.27685546875;49.01123046875;49.39630681818182;50.41429924242424;48.6083984375;51.21268656716418;53.54393115942029;53.90625;53.125;60.02768987341772
Pieza_01_foto0237;1;237;90;90;90;90;67;90;90;90;90;90;70.3125;70.3125;70.3125;70.3125;52.34375;62.126736111111114;70.3125;70.3125;70.3125;70.3125
Pieza_01_foto0254;1;254;64;64;59;74;74;73;76;74;74;71;47.0703125;49.76806640625;45.3125;49.79940878378378;52.723817567567565;52.065496575342465;59.27220394736842;57.8125;50.16891891891892;54.214348591549296
Pieza_01_foto0255;1;255;57;57;59;74;74;69;67;70;70;70;44.53125;42.96875;46.09375;46.76942567567568;56.22888513513514;51.64175724637681;52.203824626865675;52.67857142857143;54.6875;54.6875
