img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;h_51;h_52;h_53;h_54;h_55;h_56;h_57;h_58;h_59;h_60;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60
Pieza_01_foto0;1;0;55;55;55;55;55;55;56;56;56;56;57;57;60;67;67;67;67;67;64;64;64;60;57;57;57;57;57;57;90;91;91;91;91;91;90;90;62;62;62;62;62;62;62;66;66;66;66;66;66;66;66;67;67;75;77;77;77;77;77;77;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;37.5;37.5;37.5;37.5;36.8421052631579;36.8421052631579;35.0;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;32.8125;32.8125;32.8125;35.0;36.8421052631579;36.8421052631579;36.8421052631579;36.8421052631579;36.8421052631579;36.8421052631579;23.333333333333332;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.333333333333332;23.333333333333332;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.34328358208955;31.34328358208955;28.0;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273
Pieza_01_foto00;1;0;80;80;80;80;80;80;80;77;69;69;68;65;65;65;65;65;65;65;65;65;65;65;64;64;64;64;82;82;82;82;82;81;80;58;58;58;58;58;59;60;64;64;64;69;69;69;69;69;63;59;59;59;59;59;59;57;57;57;57;57;0.23809523809523808;0.23809523809523808;0.23809523809523808;0.23809523809523808;0.23809523809523808;0.23809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9291521486643438;0.9291521486643438;0.9291521486643438;0.9291521486643438;0.6968641114982579;0.3527336860670194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0118;1;118;63;63;63;63;63;63;63;62;62;62;62;62;62;62;62;62;62;62;62;62;64;64;64;64;64;62;62;62;61;60;60;60;60;60;60;60;59;59;59;57;57;57;57;57;58;58;58;58;58;55;55;55;55;61;61;61;61;61;61;61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0119;1;119;64;64;64;64;64;63;63;63;64;66;66;66;66;66;65;64;64;62;61;61;61;61;61;61;61;61;62;62;63;63;63;63;63;62;61;60;60;60;60;60;59;59;59;59;60;60;60;64;64;64;64;64;64;69;69;69;69;69;69;69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0137;1;137;64;64;64;64;64;64;64;64;64;64;65;66;67;67;68;70;71;71;71;71;71;71;71;71;71;70;70;70;70;71;72;72;72;72;73;74;74;74;74;74;75;75;75;75;75;75;75;75;78;78;78;78;78;61;55;55;55;55;55;55;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.30769230769231;31.818181818181817;31.34328358208955;31.34328358208955;30.88235294117647;30.0;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;29.577464788732396;30.0;30.0;30.0;30.0;29.577464788732396;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;28.767123287671232;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;26.923076923076923;26.923076923076923;26.923076923076923;26.923076923076923;26.923076923076923;34.42622950819672;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818
Pieza_01_foto0138;1;138;72;72;72;72;72;72;72;72;73;74;75;75;75;75;75;75;76;76;76;76;73;73;73;73;76;76;76;76;77;77;77;77;77;77;77;77;77;77;77;77;77;77;78;78;78;78;78;78;79;79;81;82;82;82;82;82;81;70;70;70;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;28.767123287671232;28.37837837837838;28.0;28.0;28.0;28.0;28.0;28.0;27.63157894736842;27.63157894736842;27.63157894736842;27.63157894736842;28.767123287671232;28.767123287671232;28.767123287671232;28.767123287671232;27.63157894736842;27.63157894736842;27.63157894736842;27.63157894736842;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;26.923076923076923;26.923076923076923;26.923076923076923;26.923076923076923;26.923076923076923;26.923076923076923;26.582278481012658;26.582278481012658;25.925925925925927;25.609756097560975;25.609756097560975;25.609756097560975;25.609756097560975;25.609756097560975;25.925925925925927;30.0;30.0;30.0
Pieza_01_foto0152;1;152;58;58;58;58;58;58;58;58;57;56;56;56;56;56;56;56;56;54;54;54;54;54;54;54;53;53;53;53;54;55;55;55;55;55;55;54;53;52;52;53;53;53;53;53;53;53;52;51;51;51;51;51;51;54;55;55;55;55;55;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0153;1;153;69;69;69;70;70;71;71;71;71;71;71;70;70;70;70;70;70;70;70;70;70;69;68;68;68;68;68;68;68;68;68;68;68;68;68;64;64;64;64;63;63;63;63;63;63;63;63;65;65;65;65;58;58;58;61;62;62;62;62;62;0.0;0.0;0.0;0.06802721088435375;0.06802721088435375;0.2682763246143528;0.2682763246143528;0.2682763246143528;0.2682763246143528;0.2682763246143528;0.1341381623071764;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0167;1;167;24;24;24;25;51;51;51;52;53;53;54;55;55;55;55;55;55;55;55;55;56;56;56;56;65;66;66;66;66;66;66;66;66;56;56;56;56;56;56;58;58;58;58;58;58;57;57;57;57;57;73;73;74;74;74;74;74;74;74;74;87.5;87.5;87.5;84.0;41.1764705882353;41.1764705882353;41.1764705882353;40.38461538461539;39.62264150943396;39.62264150943396;38.888888888888886;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;37.5;37.5;37.5;37.5;32.30769230769231;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;37.5;37.5;37.5;37.5;37.5;37.5;36.206896551724135;36.206896551724135;36.206896551724135;36.206896551724135;36.206896551724135;36.206896551724135;36.8421052631579;36.8421052631579;36.8421052631579;36.8421052631579;36.8421052631579;28.767123287671232;28.767123287671232;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838;28.37837837837838
Pieza_01_foto0168;1;168;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;63;64;64;64;64;64;64;53;53;53;53;53;54;55;56;56;56;56;56;56;55;55;55;55;55;71;72;72;72;72;72;72;72;72;61;61;61;61;61;61;61;61;61;61;61;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;38.888888888888886;38.888888888888886;38.888888888888886;38.888888888888886;38.888888888888886;33.333333333333336;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;39.62264150943396;38.888888888888886;38.18181818181818;37.5;37.5;37.5;37.5;37.5;37.5;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;38.18181818181818;29.577464788732396;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;29.166666666666668;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672
