img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_01_foto0;1;0;55;55;56;57;67;67;64;58;57;91;91;91;62;62;66;66;67;77;77;77;85.9375;85.9375;87.44419642857143;88.48684210526316;92.79384328358209;95.5223880597015;98.6328125;89.17025862068965;89.0625;68.2864010989011;70.32967032967034;69.71153846153847;96.875;96.875;95.73863636363636;96.96969696969697;95.5223880597015;83.11688311688312;83.11688311688312;83.11688311688312
Pieza_01_foto00;1;0;80;80;80;69;65;65;65;65;82;82;81;58;60;64;69;69;59;59;58;57;39.55078125;39.55078125;31.171875;23.097826086956523;21.634615384615383;21.634615384615383;21.634615384615383;20.91346153846154;34.203506097560975;41.97789634146341;32.291666666666664;14.251077586206897;15.651041666666666;20.5322265625;26.17753623188406;22.282608695652176;15.254237288135593;15.201271186440678;13.631465517241379;13.267543859649123
Pieza_01_foto0118;1;118;63;63;63;62;62;62;64;64;64;62;60;60;59;57;58;58;55;61;61;61;33.95337301587302;33.95337301587302;33.035714285714285;32.66129032258065;32.66129032258065;32.66129032258065;34.08203125;35.25390625;33.3984375;30.89717741935484;30.104166666666668;29.791666666666668;27.780720338983052;26.343201754385966;27.28987068965517;27.182112068965516;23.892045454545453;29.6875;31.378073770491802;31.378073770491802
Pieza_01_foto0119;1;119;64;64;65;66;66;64;61;61;62;63;63;61;60;60;60;64;64;69;69;69;35.25390625;34.423828125;35.0;37.878787878787875;37.00284090909091;33.0322265625;31.378073770491802;31.378073770491802;32.33366935483871;33.95337301587302;33.18452380952381;30.48155737704918;30.104166666666668;29.21875;30.0;34.47265625;35.25390625;40.26268115942029;41.87047101449275;41.87047101449275
Pieza_01_foto0137;1;137;64;64;64;67;68;71;71;71;71;71;72;74;74;75;75;78;78;78;55;55;100.0;100.0;100.0;95.5223880597015;94.11764705882354;90.14084507042253;90.14084507042253;90.14084507042253;90.14084507042253;90.14084507042253;88.88888888888889;86.48648648648648;86.48648648648648;85.33333333333333;85.33333333333333;82.05128205128206;82.05128205128206;75.30048076923077;85.9375;85.9375
Pieza_01_foto0138;1;138;72;72;73;75;75;76;76;75;76;77;77;77;77;77;78;79;82;82;82;70;88.88888888888889;88.88888888888889;87.67123287671232;85.33333333333333;85.33333333333333;84.21052631578948;84.21052631578948;85.33333333333333;84.21052631578948;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;82.05128205128206;81.0126582278481;78.04878048780488;78.04878048780488;78.04878048780488;91.42857142857143
Pieza_01_foto0152;1;152;58;58;58;56;56;56;54;54;53;55;55;55;52;53;53;52;51;55;55;55;45.28556034482759;45.28556034482759;44.20797413793103;42.43861607142857;42.43861607142857;40.597098214285715;39.61226851851852;39.120370370370374;38.20754716981132;40.36931818181818;41.02272727272727;39.0625;36.80889423076923;38.20754716981132;38.14858490566038;35.75721153846154;35.416666666666664;39.26136363636363;41.02272727272727;41.02272727272727
Pieza_01_foto0153;1;153;69;71;71;71;70;70;70;69;68;68;68;68;64;63;63;65;65;58;62;62;41.87047101449275;43.90404929577465;44.56426056338028;43.66197183098591;43.214285714285715;43.214285714285715;42.924107142857146;40.89673913043478;40.533088235294116;40.533088235294116;40.533088235294116;36.67279411764706;34.5703125;33.95337301587302;33.95337301587302;36.39423076923077;33.53365384615385;27.586206896551722;32.66129032258065;32.66129032258065
Pieza_01_foto0184;1;184;64;67;67;67;66;66;65;65;63;62;62;60;61;61;61;62;62;68;68;68;35.25390625;37.70988805970149;39.202425373134325;38.33955223880597;37.878787878787875;37.83143939393939;36.5625;35.98557692307692;33.035714285714285;32.66129032258065;32.25806451612903;30.104166666666668;31.378073770491802;31.378073770491802;31.378073770491802;32.66129032258065;32.66129032258065;39.52205882352941;40.533088235294116;40.533088235294116
Pieza_01_foto0185;1;185;65;65;61;63;63;63;63;63;61;61;59;57;57;57;57;58;58;59;59;59;55.38461538461539;50.98557692307692;49.59016393442623;51.785714285714285;52.48015873015873;51.339285714285715;51.9593253968254;52.03373015873016;49.59016393442623;47.33606557377049;46.08050847457627;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;45.28556034482759;45.28556034482759;46.26588983050848;46.71610169491525;46.71610169491525
Pieza_01_foto0219;1;219;57;59;60;60;61;64;64;64;65;65;69;69;65;73;73;76;76;71;77;77;26.343201754385966;28.416313559322035;30.0;30.104166666666668;31.378073770491802;33.447265625;35.25390625;35.25390625;35.84134615384615;36.5625;40.0588768115942;41.6893115942029;36.5625;46.767979452054796;47.28167808219178;51.21299342105263;48.416940789473685;44.56426056338028;52.780032467532465;52.780032467532465
Pieza_01_foto0255;1;255;57;57;55;57;59;59;59;74;74;69;69;66;67;67;67;70;70;70;70;70;26.343201754385966;26.20614035087719;23.892045454545453;25.74013157894737;28.840042372881356;28.840042372881356;28.840042372881356;45.7347972972973;48.226351351351354;41.87047101449275;39.10778985507246;37.878787878787875;38.922574626865675;39.202425373134325;39.202425373134325;42.276785714285715;43.214285714285715;43.214285714285715;43.214285714285715;43.214285714285715
